Fecha;Concepto;Proveedor;Moneda;Monto;TC;Monto en USD;Origen;Forma;Destino;Tipo Comprobante;Comp. No.;Recibo;Estado del Pago;Vencimiento;Cheque No.;Fecha de Pago;Ref. Operaci¢n;ID Mes Registro;ID Registro;Proyecto;ID Mes Pago;Categor¡a;éltimo Registro: 3717;éltimo en Costos: 3626 (Obsoleto);;;;;;;
09/01/18;Pago Alquiler;Federico Del Rey;UYU;12.424,00;28,66;433,57;PSS;Transf. PSS - Ita£ UYU;Alquileres;Sin Comp.;N/A;N/A;;;;;;;45;;;;;;;;;;;;
09/01/18;Aporte de Capital;PSS;USD;6.000,00;1,00;6.000,00;Juan;Transf. BBVA Juan;Aporte de Capital;Sin Comp.;N/A;N/A;;;;;;;46;;;2;;;;;;;;;
10/01/18;Costo por Transferencia (Pago Alq.);ITAU;UYU;54,91;28,68;1,91;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;47;;;;;;;;;;;;
12/01/18;BPS Diciembre 2017;BPS;UYU;3.179,00;28,67;110,90;PSS;Transf. PSS - Ita£ UYU;Cargas Sociales;Cr‚dito;776939616;12012018;;;;;;;48;;;;;;;;;;;;
12/01/18;OSE  08Dic-08Ene;OSE;UYU;304,00;28,67;10,61;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Cr‚dito;3312944;15012018;;;;;;;49;;;;;;;;;;;;
12/01/18;OSE 10Oct-08Nov (Atrasada);OSE;UYU;298,00;28,67;10,40;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Cr‚dito;1196049;150120181;;;;;;;50;;;;;;;;;;;;
15/01/18;Debito Banking Card;ITAU;UYU;912,80;28,63;31,89;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;51;;;;;;;;;;;;
17/01/18;Pago Proforma PFI10001 ;PowerCET (USA);USD;1.284,00;1,00;1.284,00;PSS;Transf. PSS - Ita£ USD;Mercader¡a;Proforma;10001;;;;;;15. CD W90568 - Sonda Corriente - UTE;;52;15;;1;;;;;;;;;
17/01/18;Costo por Transferencia;ITAU;USD;40,00;1,00;40,00;PSS;D‚bito Aut. PSS - Ita£ USD;Gastos Banc.;Sin Comp.;N/A;;;;;;15. CD W90568 - Sonda Corriente - UTE;;53;15;;1;;;;;;;;;
18/01/18;OSE - Cambio Titular;OSE;UYU;40,00;28,61;1,40;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Cr‚dito;882617;180118;;;;;;;54;;;;;;;;;;;;
19/01/18;Retiro para Caja PSS;PSS;UYU;2.000,00;28,62;69,89;PSS;D‚bito PSS - Ita£ UYU;Caja PSS - UYU;Ticket;4649;N/A;;;;;;;55;;;;;;;;;;;;
19/01/18;Compra Art. Ferreter¡a;Ferrod¢ - Lombarda SRL;UYU;587,00;28,62;20,51;Caja;Efectivo PSS - Caja UYU;Gastos;Boleta;34401223;N/A;;;;;;;56;;;;;;;;;;;;
19/01/18;Compra Art. Papeler¡a;Papeler¡a El Drag¢n - Maiorana y CIA;UYU;1.293,00;28,62;45,19;Caja;Efectivo PSS - Caja UYU;Muebles y étiles;Boleta;114344;N/A;;;;;;;57;;;;;;;;;;;;
22/01/18;ANTEL 09DIC-08ENE;ANTEL;UYU;284,00;28,59;9,94;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Sin Comp.;N/A;N/A;;;;;;;58;;;;;;;;;;;;
24/01/18;Compra 200 Tarjetas Personales;Imprenta Omega/Mabinor S.A.;UYU;1.513,00;28,44;53,21;PSS;Cheque PSS - Ita£ UYU;Gastos;Boleta;2037;N/A;;;87627;;;;59;;;;;;;;;;;;
25/01/18;Compra Combustible - Paysand£;Ancap - Cynel SA;UYU;175,00;28,50;6,14;Javier;Efectivo;Gastos;Boleta;1107645;N/A;;;;;;;60;;;;;;;;;;;;
25/01/18;Compra Combustible - Paysand£;Ancap - Cynel SA;UYU;801,00;28,50;28,11;Javier;Efectivo;Gastos;Boleta;1107644;N/A;;;;;;;61;;;;;;;;;;;;
25/01/18;Compra Combustible - Paysand£;Ancap - Cynel SA;UYU;800,00;28,50;28,08;Javier;Efectivo;Gastos;Boleta;1107643;N/A;;;;;;;62;;;;;;;;;;;;
25/01/18;Compra Combustible - Paysand£;Ancap - Ocho Ltda.;UYU;1.435,10;28,50;50,36;Javier;D‚bito Ita£ Javier;Gastos;Boleta;3919;N/A;;;;;;;63;;;;;;;;;;;;
25/01/18;Compra Almuerzo - Trinidad;Parador El Rancho - Fazak S.A.;UYU;835,00;28,50;29,30;Javier;Efectivo;Gastos;Boleta;76026;N/A;;;;;;;64;;;;;;;;;;;;
25/01/18;Peaje;Corporaci¢n Vial del Uruguay SA;UYU;90,00;28,50;3,16;Javier;Efectivo;Gastos;Boleta;8346452;N/A;;;;;;;65;;;;;;;;;;;;
25/01/18;Peaje;Corporaci¢n Vial del Uruguay SA;UYU;90,00;28,50;3,16;Javier;Efectivo;Gastos;Boleta;1048886;N/A;;;;;;;66;;;;;;;;;;;;
25/01/18;Peaje;Corporaci¢n Vial del Uruguay SA;UYU;90,00;28,50;3,16;Javier;Efectivo;Gastos;Boleta;2358667;N/A;;;;;;;67;;;;;;;;;;;;
25/01/18;Peaje;Corporaci¢n Vial del Uruguay SA;UYU;90,00;28,50;3,16;Javier;Efectivo;Gastos;Boleta;6971883;N/A;;;;;;;68;;;;;;;;;;;;
26/01/18;UTE 13DIC-15ENE;UTE;UYU;1.827,00;28,36;64,43;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Sin Comp.;698203;N/A;;;;;;;69;;;;;;;;;;;;
29/01/18;TCC Federico - Internet;Federico Del Rey;UYU;800,00;28,31;28,26;Javier;D‚bito PSS - Ita£ UYU;Gastos;Sin Comp.;N/A;N/A;;;;;;;70;;;;;;;;;;;;
29/01/18;TCC Federico - Cable;Federico Del Rey;UYU;743,00;28,31;26,25;Javier;D‚bito PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;71;;;;;;;;;;;;
30/01/18;Tributos Domiciliarios Federico;Federico Del Rey;UYU;889,00;28,41;31,30;Javier;Paganza PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;72;;;;;;;;;;;;
02/02/18;Limpieza Ene.18;Sra. Magela;UYU;1.200,00;28,40;42,26;Javier;Efectivo;Gastos;Sin Comp.;N/A;N/A;;;;;;;73;;;;;;;;;;;;
05/02/18;Compra Toner;HLC - Delfiner SA;UYU;575,00;28,42;20,24;PSS;D‚bito PSS - Ita£ UYU;Muebles y étiles;Boleta;48321;N/A;;;;;;;74;;;;;;;;;;;;
05/02/18;Compra Resmas;HLC - Delfiner SA;UYU;690,00;28,42;24,28;PSS;D‚bito PSS - Ita£ UYU;Muebles y étiles;Boleta;48322;N/A;;;;;;;75;;;;;;;;;;;;
06/02/18;Cambio USD a UYU;ITAU;USD;1.600,00;1,00;1.600,00;PSS;Transf. PSS - Ita£ USD;Cambio de Moneda;Sin Comp.;N/A;N/A;;;;;;;76;;;0;;;;;;;;;
06/02/18;Pago Despachante;Enrique Amespil;UYU;28.124,00;28,41;989,93;PSS;Transf. PSS - Ita£ UYU;Despachos;Cr‚dito;2197;2423;;;;;15. CD W90568 - Sonda Corriente - UTE;;77;15;;1;;;;;;;;;
06/02/18;Costo por Transferencia (Pago Desp.);ITAU;UYU;54,06;28,41;1,90;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;15. CD W90568 - Sonda Corriente - UTE;;78;15;;1;;;;;;;;;
06/02/18;Pago Despachante;Enrique Amespil;UYU;-12.746,00;28,41;-448,64;PSS;No Aplica;IVA/IRAE;Cr‚dito;2197;N/A;;;;;15. CD W90568 - Sonda Corriente - UTE;;3379;15;;1;;;;;;;;;
07/02/18;Pago BPS Enero2018;BPS;UYU;3.466,00;28,50;121,64;PSS;Transf. PSS - Ita£ UYU;Cargas Sociales;Cr‚dito;783359981;70218;;;;;;;79;;;;;;;;;;;;
08/02/18;Pago Alquiler Feb2018;Federico Del Rey;UYU;12.373,00;28,50;434,22;PSS;Transf. PSS - Ita£ UYU;Alquileres;Sin Comp.;N/A;N/A;;;;;;;80;;;;;;;;;;;;
08/02/18;Costo por Transferencia (Alq);ITAU;UYU;54,37;28,50;1,91;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;81;;;;;;;;;;;;
08/02/18;Recarga Toner;HLC - Delfiner SA;UYU;424,00;28,50;14,88;PSS;D‚bito PSS - Ita£ UYU;Muebles y étiles;Boleta;48361;N/A;;;;;;;82;;;;;;;;;;;;
